Drawcycle,Update Data,Cleanup,Update Ambient,Get Updates,Analyze,Write Summary,Plotting,Histograms,Plumes
1571788451.303009,0.0005578994750976562,0.00017309188842773438,0.0002288818359375,0.13102006912231445,9.107589721679688e-05,0.00018095970153808594,0.004848957061767578,1.3113021850585938e-05,0.0
1571788451.702385,0.0006620883941650391,0.00023698806762695312,0.0002739429473876953,0.12860798835754395,3.910064697265625e-05,0.00015592575073242188,0.002980947494506836,1.0013580322265625e-05,0.0
1571788452.102605,0.00055694580078125,0.000186920166015625,0.0002510547637939453,0.1288139820098877,6.604194641113281e-05,0.0002899169921875,0.0032660961151123047,1.2874603271484375e-05,0.0
1571788452.503127,0.0013549327850341797,0.0003829002380371094,0.0006229877471923828,0.13039016723632812,5.1975250244140625e-05,0.00021886825561523438,0.003422975540161133,1.2159347534179688e-05,0.0
1571788452.902055,0.0007429122924804688,0.00027108192443847656,0.0002989768981933594,0.13533306121826172,4.38690185546875e-05,0.00034499168395996094,0.0028259754180908203,9.059906005859375e-06,9.5367431640625e-07
1571788453.302823,0.001058816909790039,0.0004241466522216797,0.0005729198455810547,0.14864611625671387,4.1961669921875e-05,0.00014495849609375,0.0031681060791015625,1.3828277587890625e-05,1.1920928955078125e-06
1571788453.702426,0.0005810260772705078,0.00024509429931640625,0.000308990478515625,0.13787293434143066,4.792213439941406e-05,0.00018405914306640625,0.0035970211029052734,1.1920928955078125e-05,1.1920928955078125e-06
1571788454.101597,0.0006380081176757812,0.0003609657287597656,0.0005030632019042969,0.13620781898498535,3.814697265625e-05,0.000308990478515625,0.003423929214477539,1.811981201171875e-05,9.5367431640625e-07
1571788454.502487,0.0006649494171142578,0.00021219253540039062,0.0003039836883544922,0.1317000389099121,4.482269287109375e-05,0.00014400482177734375,0.002947092056274414,1.5974044799804688e-05,0.0
1571788454.902152,0.0009028911590576172,0.00028014183044433594,0.00032782554626464844,0.13822412490844727,4.1961669921875e-05,0.0003199577331542969,0.002769947052001953,9.059906005859375e-06,0.0
1571788455.302322,0.0009779930114746094,0.0004642009735107422,0.0010268688201904297,0.1303720474243164,4.506111145019531e-05,0.00014400482177734375,0.002586841583251953,8.106231689453125e-06,0.0
1571788455.701995,0.000946044921875,0.0003590583801269531,0.0005099773406982422,0.13662505149841309,4.792213439941406e-05,0.000164031982421875,0.0032379627227783203,1.3113021850585938e-05,0.0
1571788456.101386,0.0010399818420410156,0.0004298686981201172,0.0005860328674316406,0.14420199394226074,5.412101745605469e-05,0.00043392181396484375,0.00368499755859375,1.1920928955078125e-05,1.1920928955078125e-06
1571788456.502096,0.0007979869842529297,0.0002541542053222656,0.00034689903259277344,0.12360095977783203,4.601478576660156e-05,0.00014710426330566406,0.0025789737701416016,7.867813110351562e-06,0.0
1571788456.90199,0.0009119510650634766,0.00045800209045410156,0.0005919933319091797,0.13956403732299805,4.601478576660156e-05,0.00040912628173828125,0.002691030502319336,7.867813110351562e-06,9.5367431640625e-07
1571788457.301879,0.000553131103515625,0.0003249645233154297,0.0005390644073486328,0.13113689422607422,4.792213439941406e-05,0.00015115737915039062,0.0025289058685302734,6.9141387939453125e-06,0.0
1571788457.700697,0.0006060600280761719,0.0003619194030761719,0.00047898292541503906,0.1338059902191162,4.7206878662109375e-05,0.00014901161193847656,0.002742767333984375,9.059906005859375e-06,0.0
1571788458.101633,0.0007488727569580078,0.000286102294921875,0.00038504600524902344,0.13561701774597168,4.887580871582031e-05,0.0002949237823486328,0.002724170684814453,8.821487426757812e-06,0.0
1571788458.50162,0.0019268989562988281,0.0006389617919921875,0.0008120536804199219,0.12672114372253418,4.792213439941406e-05,0.0001518726348876953,0.0025250911712646484,8.106231689453125e-06,0.0
1571788458.901026,0.0012519359588623047,0.0005810260772705078,0.001085042953491211,0.1324748992919922,4.8160552978515625e-05,0.0004088878631591797,0.0027980804443359375,9.059906005859375e-06,0.0
1571788459.300701,0.0006170272827148438,0.00031304359436035156,0.00041103363037109375,0.12469696998596191,6.699562072753906e-05,0.00017404556274414062,0.0031490325927734375,1.0967254638671875e-05,9.5367431640625e-07
1571788459.70283,0.0005078315734863281,0.00032901763916015625,0.00041413307189941406,0.13424301147460938,4.982948303222656e-05,0.00015807151794433594,0.002619028091430664,9.059906005859375e-06,0.0
1571788460.104368,0.0005519390106201172,0.00028514862060546875,0.00042700767517089844,0.1331639289855957,4.00543212890625e-05,0.0002880096435546875,0.0026149749755859375,7.867813110351562e-06,0.0
1571788460.500321,0.0010600090026855469,0.0006411075592041016,0.0004918575286865234,0.13097405433654785,6.008148193359375e-05,0.00018286705017089844,0.0032460689544677734,1.0013580322265625e-05,9.5367431640625e-07
1571788460.900173,0.0013301372528076172,0.0010809898376464844,0.001071929931640625,0.12996292114257812,5.0067901611328125e-05,0.0003371238708496094,0.0031409263610839844,1.2874603271484375e-05,0.0
1571788462.100889,0.0010979175567626953,0.0003371238708496094,0.0005309581756591797,0.12334895133972168,5.1021575927734375e-05,0.0003311634063720703,0.002992868423461914,1.0967254638671875e-05,0.0
