Timestamp,Instr ID,Channel,Value
2019-08-16 01:49:42.222951,LI7000-1-CO2-nan,CO2,668.39
2019-08-16 01:49:42.222951,LI7000-1-CO2-nan,CO2,668.39
2019-08-16 01:49:42.223608,LI820-1-CO2-nan,CO2,813.28573
2019-08-16 01:49:42.222951,LI7000-1-CO2-nan,CO2,668.39
2019-08-16 01:49:42.223608,LI820-1-CO2-nan,CO2,813.28573
2019-08-16 01:49:42.225080,Vaisala-1-CO2-nan,CO2,873.1
2019-08-16 01:49:42.222951,LI7000-1-CO2-nan,CO2,668.39
2019-08-16 01:49:42.223608,LI820-1-CO2-nan,CO2,813.28573
2019-08-16 01:49:42.225080,Vaisala-1-CO2-nan,CO2,873.1
2019-08-16 01:49:42.226784,SBA5-1-CO2-nan,CO2,628.0
2019-08-16 01:49:42.222951,LI7000-1-CO2-nan,CO2,668.39
2019-08-16 01:49:42.223608,LI820-1-CO2-nan,CO2,813.28573
2019-08-16 01:49:42.225080,Vaisala-1-CO2-nan,CO2,873.1
2019-08-16 01:49:42.226784,SBA5-1-CO2-nan,CO2,628.0
2019-08-16 01:49:42.227982,AE33-1-BC-nan,BC,0.98
2019-08-16 01:49:42.222951,LI7000-1-CO2-nan,CO2,668.39
2019-08-16 01:49:42.223608,LI820-1-CO2-nan,CO2,813.28573
2019-08-16 01:49:42.225080,Vaisala-1-CO2-nan,CO2,873.1
2019-08-16 01:49:42.226784,SBA5-1-CO2-nan,CO2,628.0
2019-08-16 01:49:42.227982,AE33-1-BC-nan,BC,0.98
2019-08-16 01:49:43.032435,AE33-1-BC-nan,BC,0.21
2019-08-16 01:49:42.222951,LI7000-1-CO2-nan,CO2,668.39
2019-08-16 01:49:42.223608,LI820-1-CO2-nan,CO2,813.28573
2019-08-16 01:49:42.225080,Vaisala-1-CO2-nan,CO2,873.1
2019-08-16 01:49:42.226784,SBA5-1-CO2-nan,CO2,628.0
2019-08-16 01:49:42.227982,AE33-1-BC-nan,BC,0.98
2019-08-16 01:49:43.032435,AE33-1-BC-nan,BC,0.21
2019-08-16 01:49:42.222951,LI7000-1-CO2-nan,CO2,668.39
2019-08-16 01:49:42.223608,LI820-1-CO2-nan,CO2,813.28573
2019-08-16 01:49:42.225080,Vaisala-1-CO2-nan,CO2,873.1
2019-08-16 01:49:42.226784,SBA5-1-CO2-nan,CO2,628.0
2019-08-16 01:49:42.227982,AE33-1-BC-nan,BC,0.98
2019-08-16 01:49:43.032435,AE33-1-BC-nan,BC,0.21
2019-08-16 01:49:42.222951,LI7000-1-CO2-nan,CO2,668.39
2019-08-16 01:49:42.223608,LI820-1-CO2-nan,CO2,813.28573
2019-08-16 01:49:42.225080,Vaisala-1-CO2-nan,CO2,873.1
2019-08-16 01:49:42.226784,SBA5-1-CO2-nan,CO2,628.0
2019-08-16 01:49:42.227982,AE33-1-BC-nan,BC,0.98
2019-08-16 01:49:43.032435,AE33-1-BC-nan,BC,0.21
2019-08-16 01:49:43.092115,Vaisala-1-CO2-nan,CO2,875.6
2019-08-16 01:49:42.222951,LI7000-1-CO2-nan,CO2,668.39
2019-08-16 01:49:42.223608,LI820-1-CO2-nan,CO2,813.28573
2019-08-16 01:49:42.225080,Vaisala-1-CO2-nan,CO2,873.1
2019-08-16 01:49:42.226784,SBA5-1-CO2-nan,CO2,628.0
2019-08-16 01:49:42.227982,AE33-1-BC-nan,BC,0.98
2019-08-16 01:49:43.032435,AE33-1-BC-nan,BC,0.21
2019-08-16 01:49:43.092115,Vaisala-1-CO2-nan,CO2,875.6
2019-08-16 01:49:43.131313,SBA5-1-CO2-nan,CO2,648.0
2019-08-16 01:49:42.222951,LI7000-1-CO2-nan,CO2,668.39
2019-08-16 01:49:42.223608,LI820-1-CO2-nan,CO2,813.28573
2019-08-16 01:49:42.225080,Vaisala-1-CO2-nan,CO2,873.1
2019-08-16 01:49:42.226784,SBA5-1-CO2-nan,CO2,628.0
