timestamps,variable,value,name,plume_start_time,plume_width,plume_stop_time,folder_name,channel_id,species,instrument_model,instrument_number,correction,instrument_unit,plume
2019-03-08 09:13:58.944000,ma300_bc,,3_8_ma300.xlsx,2019-03-08 09:42:01.152000,14.688001200556755,2019-03-08 09:42:15.840001,Trapac_2019_Day5,MA300-1-BC-nan,BC,MA300,1,,ug/m3,False
2019-03-08 09:13:59.808000,ma300_bc,,3_8_ma300.xlsx,2019-03-08 09:42:01.152000,14.688001200556755,2019-03-08 09:42:15.840001,Trapac_2019_Day5,MA300-1-BC-nan,BC,MA300,1,,ug/m3,False
2019-03-08 09:14:00.672000,ma300_bc,,3_8_ma300.xlsx,2019-03-08 09:42:01.152000,14.688001200556755,2019-03-08 09:42:15.840001,Trapac_2019_Day5,MA300-1-BC-nan,BC,MA300,1,,ug/m3,False
2019-03-08 09:14:02.400000,ma300_bc,,3_8_ma300.xlsx,2019-03-08 09:42:01.152000,14.688001200556755,2019-03-08 09:42:15.840001,Trapac_2019_Day5,MA300-1-BC-nan,BC,MA300,1,,ug/m3,False
2019-03-08 09:14:03.264000,ma300_bc,,3_8_ma300.xlsx,2019-03-08 09:42:01.152000,14.688001200556755,2019-03-08 09:42:15.840001,Trapac_2019_Day5,MA300-1-BC-nan,BC,MA300,1,,ug/m3,False
2019-03-08 09:14:04.128000,ma300_bc,,3_8_ma300.xlsx,2019-03-08 09:42:01.152000,14.688001200556755,2019-03-08 09:42:15.840001,Trapac_2019_Day5,MA300-1-BC-nan,BC,MA300,1,,ug/m3,False
2019-03-08 09:14:04.992000,ma300_bc,,3_8_ma300.xlsx,2019-03-08 09:42:01.152000,14.688001200556755,2019-03-08 09:42:15.840001,Trapac_2019_Day5,MA300-1-BC-nan,BC,MA300,1,,ug/m3,False
2019-03-08 09:14:05.856000,ma300_bc,,3_8_ma300.xlsx,2019-03-08 09:42:01.152000,14.688001200556755,2019-03-08 09:42:15.840001,Trapac_2019_Day5,MA300-1-BC-nan,BC,MA300,1,,ug/m3,False
2019-03-08 09:14:06.720000,ma300_bc,,3_8_ma300.xlsx,2019-03-08 09:42:01.152000,14.688001200556755,2019-03-08 09:42:15.840001,Trapac_2019_Day5,MA300-1-BC-nan,BC,MA300,1,,ug/m3,False
2019-03-08 09:14:07.584000,ma300_bc,,3_8_ma300.xlsx,2019-03-08 09:42:01.152000,14.688001200556755,2019-03-08 09:42:15.840001,Trapac_2019_Day5,MA300-1-BC-nan,BC,MA300,1,,ug/m3,False
