timestamps,variable,value,name,plume_start_time,plume_width,plume_stop_time,folder_name,channel_id,species,instrument_model,instrument_number,correction,instrument_unit,plume
2019-03-08 09:13:33.000000,li820_co2,813.28573,3_8_li820.xlsx,2019-03-08 09:42:01.000000,11.99999526143074,2019-03-08 09:42:12.999995,Trapac_2019_Day5,LI820-1-CO2-nan,CO2,LI820,1,,ppm,False
2019-03-08 09:13:34.000000,li820_co2,807.9694900000001,3_8_li820.xlsx,2019-03-08 09:42:01.000000,11.99999526143074,2019-03-08 09:42:12.999995,Trapac_2019_Day5,LI820-1-CO2-nan,CO2,LI820,1,,ppm,False
2019-03-08 09:13:35.000000,li820_co2,755.92007,3_8_li820.xlsx,2019-03-08 09:42:01.000000,11.99999526143074,2019-03-08 09:42:12.999995,Trapac_2019_Day5,LI820-1-CO2-nan,CO2,LI820,1,,ppm,False
2019-03-08 09:13:36.000000,li820_co2,751.77309,3_8_li820.xlsx,2019-03-08 09:42:01.000000,11.99999526143074,2019-03-08 09:42:12.999995,Trapac_2019_Day5,LI820-1-CO2-nan,CO2,LI820,1,,ppm,False
2019-03-08 09:13:37.000000,li820_co2,753.311915,3_8_li820.xlsx,2019-03-08 09:42:01.000000,11.99999526143074,2019-03-08 09:42:12.999995,Trapac_2019_Day5,LI820-1-CO2-nan,CO2,LI820,1,,ppm,False
2019-03-08 09:13:38.000000,li820_co2,747.12803,3_8_li820.xlsx,2019-03-08 09:42:01.000000,11.99999526143074,2019-03-08 09:42:12.999995,Trapac_2019_Day5,LI820-1-CO2-nan,CO2,LI820,1,,ppm,False
2019-03-08 09:13:39.000000,li820_co2,738.55376,3_8_li820.xlsx,2019-03-08 09:42:01.000000,11.99999526143074,2019-03-08 09:42:12.999995,Trapac_2019_Day5,LI820-1-CO2-nan,CO2,LI820,1,,ppm,False
2019-03-08 09:13:40.000000,li820_co2,742.96469,3_8_li820.xlsx,2019-03-08 09:42:01.000000,11.99999526143074,2019-03-08 09:42:12.999995,Trapac_2019_Day5,LI820-1-CO2-nan,CO2,LI820,1,,ppm,False
2019-03-08 09:13:41.000000,li820_co2,722.2461900000001,3_8_li820.xlsx,2019-03-08 09:42:01.000000,11.99999526143074,2019-03-08 09:42:12.999995,Trapac_2019_Day5,LI820-1-CO2-nan,CO2,LI820,1,,ppm,False
2019-03-08 09:13:42.000000,li820_co2,715.1677549999999,3_8_li820.xlsx,2019-03-08 09:42:01.000000,11.99999526143074,2019-03-08 09:42:12.999995,Trapac_2019_Day5,LI820-1-CO2-nan,CO2,LI820,1,,ppm,False
2019-03-08 09:13:43.000000,li820_co2,728.41746,3_8_li820.xlsx,2019-03-08 09:42:01.000000,11.99999526143074,2019-03-08 09:42:12.999995,Trapac_2019_Day5,LI820-1-CO2-nan,CO2,LI820,1,,ppm,False
2019-03-08 09:13:44.000000,li820_co2,713.05942,3_8_li820.xlsx,2019-03-08 09:42:01.000000,11.99999526143074,2019-03-08 09:42:12.999995,Trapac_2019_Day5,LI820-1-CO2-nan,CO2,LI820,1,,ppm,False
2019-03-08 09:13:45.000000,li820_co2,692.2106200000001,3_8_li820.xlsx,2019-03-08 09:42:01.000000,11.99999526143074,2019-03-08 09:42:12.999995,Trapac_2019_Day5,LI820-1-CO2-nan,CO2,LI820,1,,ppm,False
2019-03-08 09:13:46.000000,li820_co2,692.49744,3_8_li820.xlsx,2019-03-08 09:42:01.000000,11.99999526143074,2019-03-08 09:42:12.999995,Trapac_2019_Day5,LI820-1-CO2-nan,CO2,LI820,1,,ppm,False
2019-03-08 09:13:47.000000,li820_co2,712.996025,3_8_li820.xlsx,2019-03-08 09:42:01.000000,11.99999526143074,2019-03-08 09:42:12.999995,Trapac_2019_Day5,LI820-1-CO2-nan,CO2,LI820,1,,ppm,False
2019-03-08 09:13:48.000000,li820_co2,703.3515150000001,3_8_li820.xlsx,2019-03-08 09:42:01.000000,11.99999526143074,2019-03-08 09:42:12.999995,Trapac_2019_Day5,LI820-1-CO2-nan,CO2,LI820,1,,ppm,False
2019-03-08 09:13:49.000000,li820_co2,707.44042,3_8_li820.xlsx,2019-03-08 09:42:01.000000,11.99999526143074,2019-03-08 09:42:12.999995,Trapac_2019_Day5,LI820-1-CO2-nan,CO2,LI820,1,,ppm,False
